## MOW 0.1.3	mya	CC BY 4.0
02395406-n	mya:lemma	ဝက်
02395694-n	mya:lemma	ဝက်ကလေး
02396427-n	mya:lemma	တောဝက်
02398521-n	mya:lemma	ရေမြင်း
02402425-n	mya:lemma	နွား
02403325-n	mya:lemma	နွားထီး
02403454-n	mya:lemma	နွားမ
02406011-v	mya:lemma	ဦး
02415025-a	mya:lemma	သွယ်
02416519-n	mya:lemma	ဆိတ်
02418465-n	mya:lemma	တောင်ဆိတ်
02427103-v	mya:lemma	ထောင်
02428924-v	mya:lemma	စုရုံး
02439033-n	mya:lemma	သစ်ကုလားအုတ်
02448185-v	mya:lemma	စည်းရုံး
02452637-n	mya:lemma	နှုတ်သီး
02456493-v	mya:lemma	မြှုပ်
02456493-v	mya:lemma	မြေချ
02460964-a	mya:lemma	အစစ်အမှန်
02460964-a	mya:lemma	တကယ့်
02470325-n	mya:lemma	လူဝံ
02472293-n	mya:lemma	လူ
02480495-n	mya:lemma	လူဝံ
02502536-v	mya:lemma	ဝင်ခွင့်ပြု
02529264-a	mya:lemma	နွေး
02529264-a	mya:lemma	ပူ
02529581-a	mya:lemma	နွေး
02547586-v	mya:lemma	မစ
02550868-v	mya:lemma	ကယ်မ
02551144-v	mya:lemma	ကယ်
02556126-v	mya:lemma	မစ
02556126-v	mya:lemma	မစ
02560585-v	mya:lemma	ပြု
02565491-v	mya:lemma	ဦး
02618149-v	mya:lemma	အသက်ရှင်
02631856-v	mya:lemma	ပြ
02641463-v	mya:lemma	စောင့်
02665282-v	mya:lemma	တူ
02665282-v	mya:lemma	ဆင်
02665282-v	mya:lemma	ဆင်တူ
02686568-n	mya:lemma	လေယာဉ်ပျံ
02687822-a	mya:lemma	စင်တီဂရိတ်
02690081-n	mya:lemma	လေယာဥ်လိုင်းကုမ္ပဏီ
02690708-v	mya:lemma	တည်
02691156-n	mya:lemma	လေယာဉ်ပျံ
02692232-n	mya:lemma	လေဆိပ်
02694662-n	mya:lemma	နှိုးစက်
02694662-n	mya:lemma	နှိုးသံ
02709367-n	mya:lemma	ကျောက်ဆူး
02725548-a	mya:lemma	ဖာရင်ဟိုက်
02728440-n	mya:lemma	အဝတ်အစား
02733075-n	mya:lemma	ရုက္ခဗေဒဥယျာဉ်
02733075-n	mya:lemma	ရုက္ခဗေဒ ဥယျာဉ်
02737833-n	mya:lemma	လက်
02738449-n	mya:lemma	လက်ပတ်
02748927-v	mya:lemma	ဆင်
02756558-v	mya:lemma	ရွာ
02756558-v	mya:lemma	မိုးရွာ
02758826-v	mya:lemma	ခဲ
02764251-a	mya:lemma	စစ်
02776205-n	mya:lemma	ငါးစာ
02776205-n	mya:lemma	စာ
02788689-n	mya:lemma	တန်း
02790726-a	mya:lemma	တော
02795528-n	mya:lemma	ပြောင်း
02800689-a	mya:lemma	လုံး
02834778-n	mya:lemma	စက်ဘီး
02834778-n	mya:lemma	စက်ဘီး
02841315-n	mya:lemma	မှန်ပြောင်း
02850732-n	mya:lemma	သစ်သီးဖျော်စက်
02855253-n	mya:lemma	ပြောင်း
02880008-n	mya:lemma	ဦး
02892392-n	mya:lemma	လက်ပတ်
02892767-n	mya:lemma	ဘရာစီယာ
02909870-n	mya:lemma	ပုံး
02913152-n	mya:lemma	တိုက်
02921325-a	mya:lemma	ရောမ
02924116-n	mya:lemma	ဘတ်စကား
02926288-n	mya:lemma	ကားဂိတ်
02947212-n	mya:lemma	တူးမြောင်း
02958343-n	mya:lemma	ယဉ်
02958343-n	mya:lemma	ကား
02991302-n	mya:lemma	အချုပ်ခန်း
03032252-n	mya:lemma	ရုပ်ရှင်ရုံ
03038685-n	mya:lemma	စာသင်ခန်း
03052018-a	mya:lemma	ဗမာ
03076708-n	mya:lemma	ကုန်
03082979-n	mya:lemma	ကွန်ပျူတာ
